Index,J1,J2,J3,J4,J5,V1,V2,V3,V4,V5
99,-26.80,0.00,0.00,0.00,0.00,5.73,0.00,0.00,0.00,0.00
100,-26.22,0.00,0.00,0.00,0.00,5.73,0.00,0.00,0.00,0.00
101,-25.65,0.00,0.00,0.00,0.00,5.73,0.00,0.00,0.00,0.00
102,-25.08,0.00,0.00,0.00,0.00,5.73,0.00,0.00,0.00,0.00
103,-24.50,0.00,0.00,0.00,0.00,5.73,0.00,0.00,0.00,0.00
104,-23.93,0.00,0.00,0.00,0.00,5.73,0.00,0.00,0.00,0.00
105,-23.36,0.00,0.00,0.00,0.00,5.73,0.00,0.00,0.00,0.00
106,-22.78,0.00,0.00,0.00,0.00,5.73,0.00,0.00,0.00,0.00
107,-22.21,0.00,0.00,0.00,0.00,5.73,0.00,0.00,0.00,0.00
108,-21.64,0.00,0.00,0.00,0.00,5.73,0.00,0.00,0.00,0.00
109,-21.07,0.00,0.00,0.00,0.00,5.73,0.00,0.00,0.00,0.00
110,-20.49,0.00,0.00,0.00,0.00,5.73,0.00,0.00,0.00,0.00
111,-19.92,0.00,0.00,0.00,0.00,5.73,0.00,0.00,0.00,0.00
112,-19.35,0.00,0.00,0.00,0.00,5.73,0.00,0.00,0.00,0.00
113,-18.77,0.00,0.00,0.00,0.00,5.73,0.00,0.00,0.00,0.00
114,-18.20,0.00,0.00,0.00,0.00,5.73,0.00,0.00,0.00,0.00
115,-17.63,0.00,0.00,0.00,0.00,5.73,0.00,0.00,0.00,0.00
116,-17.06,0.00,0.00,0.00,0.00,5.73,0.00,0.00,0.00,0.00
117,-16.48,0.00,0.00,0.00,0.00,5.73,0.00,0.00,0.00,0.00
118,-15.91,0.00,0.00,0.00,0.00,5.73,0.00,0.00,0.00,0.00
119,-15.34,0.00,0.00,0.00,0.00,5.73,0.00,0.00,0.00,0.00
120,-14.76,0.00,0.00,0.00,0.00,5.73,0.00,0.00,0.00,0.00
121,-14.19,0.00,0.00,0.00,0.00,5.73,0.00,0.00,0.00,0.00
122,-13.62,0.00,0.00,0.00,0.00,5.73,0.00,0.00,0.00,0.00
123,-13.04,0.00,0.00,0.00,0.00,5.73,0.00,0.00,0.00,0.00
124,-12.47,0.00,0.00,0.00,0.00,5.73,0.00,0.00,0.00,0.00
125,-11.90,0.00,0.00,0.00,0.00,5.73,0.00,0.00,0.00,0.00
126,-11.33,0.00,0.00,0.00,0.00,5.73,0.00,0.00,0.00,0.00
127,-10.75,0.00,0.00,0.00,0.00,5.73,0.00,0.00,0.00,0.00
128,-10.18,0.00,0.00,0.00,0.00,5.73,0.00,0.00,0.00,0.00
129,-9.61,0.00,0.00,0.00,0.00,5.73,0.00,0.00,0.00,0.00
130,-9.03,0.00,0.00,0.00,0.00,5.73,0.00,0.00,0.00,0.00
131,-8.46,0.00,0.00,0.00,0.00,5.73,0.00,0.00,0.00,0.00
132,-7.89,0.00,0.00,0.00,0.00,5.73,0.00,0.00,0.00,0.00
133,-7.32,0.00,0.00,0.00,0.00,5.73,0.00,0.00,0.00,0.00
134,-6.74,0.00,0.00,0.00,0.00,5.73,0.00,0.00,0.00,0.00
135,-6.17,0.00,0.00,0.00,0.00,5.73,0.00,0.00,0.00,0.00
136,-5.60,0.00,0.00,0.00,0.00,5.73,0.00,0.00,0.00,0.00
137,-5.02,0.00,0.00,0.00,0.00,5.73,0.00,0.00,0.00,0.00
138,-4.45,0.00,0.00,0.00,0.00,5.73,0.00,0.00,0.00,0.00
139,-3.88,0.00,0.00,0.00,0.00,5.73,0.00,0.00,0.00,0.00
140,-3.30,0.00,0.00,0.00,0.00,5.73,0.00,0.00,0.00,0.00
141,-2.73,0.00,0.00,0.00,0.00,5.73,0.00,0.00,0.00,0.00
142,-2.16,0.00,0.00,0.00,0.00,5.73,0.00,0.00,0.00,0.00
143,-1.59,0.00,0.00,0.00,0.00,5.73,0.00,0.00,0.00,0.00
144,-1.01,0.00,0.00,0.00,0.00,5.73,0.00,0.00,0.00,0.00
145,-0.44,0.00,0.00,0.00,0.00,5.73,0.00,0.00,0.00,0.00
146,-0.02,0.00,0.00,0.00,0.00,1.53,0.00,0.00,0.00,0.00
147,-0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
